type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
49,2022-10-02 08:01:12+0000,3361,0.0,1.800000071525574,0.0,0.0,674.0
49,2022-09-30 13:39:20+0000,1978,0.0,1.800000071525574,0.0,0.0,228.0
16,2022-09-29 12:22:29+0000,1622,0.0,1.800000071525574,0.0,0.0,137.0
16,2022-09-28 17:32:38+0000,797,0.0,1.800000071525574,0.0,0.0,72.0
49,2022-09-28 16:30:42+0000,2239,0.0,1.800000071525574,0.0,0.0,466.0
16,2022-09-27 16:12:43+0000,4527,0.0,1.800000071525574,0.0,0.0,548.0
16,2022-09-25 07:53:16+0000,739,0.0,1.800000071525574,0.0,0.0,77.0
1,2022-09-25 07:04:46+0000,2783,190.0,0.1872242540121078,7957.0,0.349,393.0
16,2022-09-23 13:06:14+0000,1737,0.0,1.800000071525574,0.0,0.0,170.0
49,2022-09-23 12:40:31+0000,1492,0.0,1.800000071525574,0.0,0.0,138.0
16,2022-09-22 12:16:45+0000,2921,0.0,1.800000071525574,0.0,0.0,258.0
16,2022-09-21 13:17:55+0000,1060,0.0,1.800000071525574,0.0,0.0,91.0
49,2022-09-21 12:35:17+0000,1894,0.0,1.800000071525574,0.0,0.0,269.0
49,2022-09-19 13:26:52+0000,2093,0.0,1.800000071525574,0.0,0.0,306.0
16,2022-09-18 08:15:47+0000,764,0.0,1.800000071525574,0.0,0.0,96.0
6,2022-09-18 08:09:43+0000,69,324.0,0.323787122964859,115.0,0.596,10.0
1,2022-09-18 07:39:16+0000,1813,207.0,0.2074375152587891,6242.0,0.29,373.0
16,2022-09-17 07:22:05+0000,2346,0.0,1.800000071525574,0.0,0.0,186.0
49,2022-09-15 12:32:21+0000,2910,0.0,1.800000071525574,0.0,0.0,308.0
16,2022-09-15 12:11:26+0000,1250,0.0,1.800000071525574,0.0,0.0,112.0
49,2022-09-13 12:38:36+0000,1334,0.0,1.800000071525574,0.0,0.0,251.0
16,2022-09-12 12:13:08+0000,2278,0.0,1.800000071525574,0.0,0.0,213.0
49,2022-09-11 07:24:59+0000,2706,0.0,1.800000071525574,0.0,0.0,534.0
16,2022-09-09 11:24:03+0000,2161,0.0,1.800000071525574,0.0,0.0,183.0
49,2022-09-09 10:54:49+0000,1748,0.0,1.800000071525574,0.0,0.0,123.0
49,2022-09-09 10:50:28+0000,258,0.0,1.800000071525574,0.0,0.0,9.0
16,2022-09-08 12:47:01+0000,3280,0.0,1.800000071525574,0.0,0.0,422.0
49,2022-09-08 12:07:00+0000,2372,0.0,1.800000071525574,0.0,0.0,250.0
16,2022-09-06 11:31:17+0000,3139,0.0,1.800000071525574,0.0,0.0,311.0
49,2022-09-06 11:03:04+0000,1349,0.0,1.800000071525574,0.0,0.0,220.0
16,2022-09-05 11:26:06+0000,3277,0.0,1.800000071525574,0.0,0.0,379.0
16,2022-09-04 07:17:51+0000,497,0.0,1.800000071525574,0.0,0.0,59.0
49,2022-09-04 06:53:12+0000,1208,0.0,1.800000071525574,0.0,0.0,214.0
16,2022-09-02 11:42:18+0000,1537,0.0,1.800000071525574,0.0,0.0,163.0
49,2022-09-02 11:30:06+0000,725,0.0,1.800000071525574,0.0,0.0,68.0
49,2022-09-02 11:22:39+0000,442,0.0,1.800000071525574,0.0,0.0,17.0
16,2022-09-01 11:13:34+0000,2027,0.0,1.800000071525574,0.0,0.0,315.0
49,2022-09-01 10:52:24+0000,718,0.0,1.800000071525574,0.0,0.0,138.0
16,2022-08-30 12:21:45+0000,1651,0.0,1.800000071525574,0.0,0.0,181.0
49,2022-08-30 11:34:04+0000,1805,0.0,1.800000071525574,0.0,0.0,322.0
49,2022-08-29 12:53:17+0000,1052,0.0,1.800000071525574,0.0,0.0,94.0
16,2022-08-29 12:21:50+0000,1883,0.0,1.800000071525574,0.0,0.0,126.0
49,2022-08-28 07:10:32+0000,2412,0.0,1.800000071525574,0.0,0.0,436.0
49,2022-08-26 13:41:24+0000,635,0.0,1.800000071525574,0.0,0.0,113.0
16,2022-08-26 12:46:54+0000,3256,0.0,1.800000071525574,0.0,0.0,352.0
16,2022-08-25 12:31:22+0000,1776,0.0,1.800000071525574,0.0,0.0,253.0
49,2022-08-25 11:56:11+0000,2104,0.0,1.800000071525574,0.0,0.0,298.0
16,2022-08-22 13:43:28+0000,1723,0.0,1.800000071525574,0.0,0.0,221.0
49,2022-08-22 13:18:56+0000,996,0.0,1.800000071525574,0.0,0.0,165.0
49,2022-08-22 13:15:09+0000,219,0.0,1.800000071525574,0.0,0.0,10.0
1,2022-08-21 06:55:02+0000,1327,224.0,0.2249282151460648,4409.0,0.3,301.0
16,2022-08-19 08:47:02+0000,7462,0.0,1.800000071525574,0.0,0.0,702.0
16,2022-08-18 12:07:24+0000,1519,0.0,1.800000071525574,0.0,0.0,141.0
16,2022-08-18 12:05:22+0000,95,0.0,1.800000071525574,0.0,0.0,9.0
49,2022-08-18 11:30:09+0000,1785,0.0,1.800000071525574,0.0,0.0,297.0
16,2022-08-17 20:30:30+0000,45,0.0,1.800000071525574,0.0,0.0,2.0
16,2022-08-16 12:35:10+0000,751,0.0,1.800000071525574,0.0,0.0,64.0
16,2022-08-16 11:30:57+0000,3558,0.0,1.800000071525574,0.0,0.0,446.0
16,2022-08-15 09:15:04+0000,6212,0.0,1.800000071525574,0.0,0.0,607.0
49,2022-08-15 08:48:04+0000,1492,0.0,1.800000071525574,0.0,0.0,192.0
49,2022-08-12 20:39:04+0000,19103,0.0,1.800000071525574,0.0,0.0,986.0
49,2022-08-12 11:54:37+0000,2752,0.0,1.800000071525574,0.0,0.0,386.0
49,2022-08-11 11:50:02+0000,1124,0.0,1.800000071525574,0.0,0.0,184.0
16,2022-08-11 11:19:56+0000,1790,0.0,1.800000071525574,0.0,0.0,173.0
49,2022-08-09 12:48:12+0000,1397,0.0,1.800000071525574,0.0,0.0,255.0
16,2022-08-09 12:09:18+0000,2159,0.0,1.800000071525574,0.0,0.0,268.0
16,2022-08-08 13:11:09+0000,1767,0.0,1.800000071525574,0.0,0.0,206.0
49,2022-08-08 12:30:12+0000,2109,0.0,1.800000071525574,0.0,0.0,385.0
1,2022-08-06 15:52:20+0000,31,1609.0,0.6026961207389832,13.0,2.272,1.0
16,2022-08-05 11:31:29+0000,4007,0.0,1.800000071525574,0.0,0.0,389.0
16,2022-08-05 11:30:02+0000,77,0.0,1.800000071525574,0.0,0.0,6.0
16,2022-08-04 12:37:43+0000,436,0.0,1.800000071525574,0.0,0.0,43.0
16,2022-08-04 12:16:44+0000,1176,0.0,1.800000071525574,0.0,0.0,120.0
49,2022-08-04 11:29:16+0000,1701,0.0,1.800000071525574,0.0,0.0,334.0
16,2022-08-02 12:20:45+0000,2292,0.0,1.800000071525574,0.0,0.0,367.0
49,2022-08-01 13:42:38+0000,546,0.0,1.800000071525574,0.0,0.0,84.0
16,2022-08-01 13:20:17+0000,1334,0.0,1.800000071525574,0.0,0.0,173.0
49,2022-07-31 20:15:40+0000,28382,0.0,1.800000071525574,0.0,0.0,1515.0
49,2022-07-31 06:51:51+0000,1884,0.0,1.800000071525574,0.0,0.0,394.0
16,2022-07-29 15:55:22+0000,1988,0.0,1.800000071525574,0.0,0.0,183.0
49,2022-07-29 15:08:40+0000,2469,0.0,1.800000071525574,0.0,0.0,355.0
49,2022-07-28 11:47:33+0000,1117,0.0,1.800000071525574,0.0,0.0,159.0
16,2022-07-28 10:53:24+0000,2376,0.0,1.800000071525574,0.0,0.0,290.0
49,2022-07-26 13:25:19+0000,755,0.0,1.800000071525574,0.0,0.0,158.0
16,2022-07-26 12:40:43+0000,2460,0.0,1.800000071525574,0.0,0.0,186.0
16,2022-07-25 16:12:49+0000,1306,0.0,1.800000071525574,0.0,0.0,136.0
49,2022-07-25 15:42:05+0000,1365,0.0,1.800000071525574,0.0,0.0,214.0
16,2022-07-24 08:01:58+0000,405,0.0,1.800000071525574,0.0,0.0,38.0
49,2022-07-24 07:44:48+0000,1020,0.0,1.800000071525574,0.0,0.0,181.0
16,2022-07-24 07:30:49+0000,826,0.0,1.800000071525574,0.0,0.0,77.0
49,2022-07-24 07:15:43+0000,873,0.0,1.800000071525574,0.0,0.0,177.0
16,2022-07-22 17:06:34+0000,2929,0.0,1.800000071525574,0.0,0.0,354.0
16,2022-07-22 16:52:22+0000,802,0.0,1.800000071525574,0.0,0.0,81.0
16,2022-07-21 12:55:55+0000,2844,0.0,1.800000071525574,0.0,0.0,360.0
49,2022-07-21 12:27:46+0000,1256,0.0,1.800000071525574,0.0,0.0,199.0
49,2022-07-21 12:25:38+0000,114,0.0,1.800000071525574,0.0,0.0,5.0
49,2022-07-21 12:24:36+0000,56,0.0,1.800000071525574,0.0,0.0,3.0
16,2022-07-19 13:32:26+0000,1208,0.0,1.800000071525574,0.0,0.0,114.0
